"iso_code","date","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"ALB","2/29/2020",-190.8,-4.34,2.88,-66.41294231
"ALB","3/31/2020",-165,-2.59,1.31,-57.4325759
"ALB","4/30/2020",-95,-1.17,4.04,-33.06724067
"ALB","5/31/2020",23,0.24,7,8.005753004
"ALB","6/30/2020",188,1.65,10.22,65.4383289
"ALB","7/31/2020",602.8,4.59,23.69,209.8203439
"ALB","8/31/2020",1384.2,9.33,46.11,481.8071003
"ALB","9/30/2020",1848,11.3,30.55,643.24485
"ALB","10/31/2020",2600,14.44,45.55,904.9981656
"ALB","11/30/2020",4703.4,23.8,120.15,1637.141682
"ALB","12/31/2020",5812.4,26.67,54.6,2023.158207
"ALB","1/31/2021",6384.8,26.36,23.56,2222.397034
"ALB","2/28/2021",8200.8,31.33,92.8,2854.503445
"ALB","3/31/2021",9685.2,34.42,75.63,3371.187782
"ALB","4/30/2021",10374.8,34.73,39.88,3611.221142
"ALB","5/31/2021",10568.4,33.5,11.52,3678.608698
"ALB","6/30/2021",10781,32.51,13.21,3752.609701
"ALB","7/31/2021",10854.4,31.09,4.2,3778.158496
"ALB","8/31/2021",11244.4,30.72,23.08,3913.908221
"ALB","9/30/2021",12236.8,32.11,65.57,4259.339059
"ALB","10/31/2021",13149.4,33.07,55.43,4576.993415
"ALB","11/30/2021",13909.4,33.51,43.53,4841.53134
"ALB","12/31/2021",14655,33.67,36.79,5101.056968
"DZA","2/29/2020",-536.3,-1.6,-0.61,-12.02018279
"DZA","3/31/2020",-488.7,-0.99,0.3,-10.95331592
"DZA","4/30/2020",-329.1,-0.51,1.07,-7.376174075
"DZA","5/31/2020",-345.5,-0.44,-0.11,-7.743750054
"DZA","6/30/2020",3268.1,3.49,24.94,73.24847917
"DZA","7/31/2020",20171.7,18.53,110.72,452.1117307
"DZA","8/31/2020",28323.8,22.82,53.42,634.8261296
"DZA","9/30/2020",31062.9,22.44,19.15,696.2180421
"DZA","10/31/2020",34432,22.4,22.03,771.7302514
"DZA","11/30/2020",45018.6,26.6,68.24,1009.009511
"DZA","12/31/2020",49888.7,26.86,29.47,1118.163888
"AND","3/31/2020",16,16.84,23.46,206.8412752
"AND","4/30/2020",51.6,43.22,145.9,667.0631124
"AND","5/31/2020",66,46.81,66.67,853.2202601
"AND","6/30/2020",66.2,39.69,0.78,855.805776
"AND","7/31/2020",67.8,34.91,5.84,876.4899036
"AND","8/31/2020",61.6,28.08,-24.6,796.3389094
"AND","9/30/2020",63.4,25.92,7.14,819.6085529
"AND","10/31/2020",87,31.99,86.13,1124.699434
