iso_code,date,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,2/24/2020,,,,
AFG,2/25/2020,,,,
AFG,2/26/2020,,,,
AFG,2/27/2020,,,,
AFG,2/28/2020,,,,
AFG,2/29/2020,,,,
AFG,3/1/2020,,,,
AFG,3/2/2020,,,,
AFG,3/3/2020,,,,
AFG,3/4/2020,,,,
AFG,3/5/2020,,,,
AFG,3/6/2020,,,,
AFG,3/7/2020,,,,
AFG,3/8/2020,,,,
AFG,3/9/2020,,,,
AFG,3/10/2020,,,,
AFG,3/11/2020,,,,
AFG,3/12/2020,,,,
AFG,3/13/2020,,,,
AFG,3/14/2020,,,,
AFG,3/15/2020,,,,
AFG,3/16/2020,,,,
AFG,3/17/2020,,,,
AFG,3/18/2020,,,,
AFG,3/19/2020,,,,
AFG,3/20/2020,,,,
AFG,3/21/2020,,,,
AFG,3/22/2020,,,,
AFG,3/23/2020,,,,
AFG,3/24/2020,,,,
AFG,3/25/2020,,,,
AFG,3/26/2020,,,,
AFG,3/27/2020,,,,
AFG,3/28/2020,,,,
AFG,3/29/2020,,,,
AFG,3/30/2020,,,,
AFG,3/31/2020,,,,
AFG,4/1/2020,,,,
AFG,4/2/2020,,,,
AFG,4/3/2020,,,,
AFG,4/4/2020,,,,
AFG,4/5/2020,,,,
AFG,4/6/2020,,,,
AFG,4/7/2020,,,,
AFG,4/8/2020,,,,
AFG,4/9/2020,,,,
AFG,4/10/2020,,,,
AFG,4/11/2020,,,,
AFG,4/12/2020,,,,
AFG,4/13/2020,,,,
AFG,4/14/2020,,,,
AFG,4/15/2020,,,,
AFG,4/16/2020,,,,
AFG,4/17/2020,,,,
AFG,4/18/2020,,,,
AFG,4/19/2020,,,,
AFG,4/20/2020,,,,
AFG,4/21/2020,,,,
AFG,4/22/2020,,,,
AFG,4/23/2020,,,,
AFG,4/24/2020,,,,
AFG,4/25/2020,,,,
AFG,4/26/2020,,,,
AFG,4/27/2020,,,,
AFG,4/28/2020,,,,
AFG,4/29/2020,,,,
AFG,4/30/2020,,,,
AFG,5/1/2020,,,,
AFG,5/2/2020,,,,
AFG,5/3/2020,,,,
AFG,5/4/2020,,,,
AFG,5/5/2020,,,,
AFG,5/6/2020,,,,
AFG,5/7/2020,,,,
AFG,5/8/2020,,,,
AFG,5/9/2020,,,,
AFG,5/10/2020,,,,
AFG,5/11/2020,,,,
AFG,5/12/2020,,,,
AFG,5/13/2020,,,,
AFG,5/14/2020,,,,
AFG,5/15/2020,,,,
AFG,5/16/2020,,,,
AFG,5/17/2020,,,,
AFG,5/18/2020,,,,
AFG,5/19/2020,,,,
AFG,5/20/2020,,,,
AFG,5/21/2020,,,,
AFG,5/22/2020,,,,
AFG,5/23/2020,,,,
AFG,5/24/2020,,,,
