location,population,population_density,total_cases,total_deaths,Case_Rate_%_Per_Pop,Death_Rate_%_Per_Pop
Faeroe Islands,49053,35.308,34658,28,70.65,0.06
Denmark,5813302,136.52,3050431,5585,52.47,0.10
Andorra,77354,163.755,39713,153,51.34,0.20
Gibraltar,33691,3457.1,16851,101,50.02,0.30
Iceland,368792,3.404,179813,97,48.76,0.03
Cyprus,896005,127.657,421603,937,47.05,0.10
Slovenia,2078723,102.619,962199,6480,46.29,0.31
Netherlands,17173094,508.544,7899893,22031,46.00,0.13
San Marino,34010,556.667,15272,113,44.90,0.33
Slovakia,5449270,113.128,2426662,19311,44.53,0.35
Latvia,1866934,31.212,794447,5596,42.55,0.30
Liechtenstein,38254,237.012,16176,84,42.29,0.22
Israel,9291000,402.606,3894134,10485,41.91,0.11
Estonia,1325188,31.033,553736,2448,41.79,0.18
Austria,9043072,106.749,3770412,15764,41.69,0.17
Georgia,3979773,65.032,1647243,16730,41.39,0.42
Seychelles,98910,208.354,40209,164,40.65,0.17
Switzerland,8715494,214.243,3468289,13534,39.79,0.16
Lithuania,2689862,45.135,1018758,8858,37.87,0.33
France,67422000,122.578,25329455,142054,37.57,0.21
Montenegro,628051,46.28,232924,2700,37.09,0.43
Czechia,10724553,137.176,3808101,39640,35.51,0.37
Portugal,10167923,112.371,3534003,21545,34.76,0.21
Luxembourg,634814,231.447,212390,1035,33.46,0.16
Saint Pierre and Miquelon,5771,NULL,1930,1,33.44,0.02
Isle of Man,85410,147.872,28081,82,32.88,0.10
Belgium,11632334,375.564,3807447,30747,32.73,0.26
Maldives,543620,1454.433,177000,298,32.56,0.05
Bonaire Sint Eustatius and Saba,26445,NULL,8475,31,32.05,0.12
Aruba,107195,584.8,33929,212,31.65,0.20
Bahrain,1748295,1935.907,552890,1470,31.62,0.08
Cayman Islands,66498,256.496,20606,25,30.99,0.04
United Kingdom,68207114,272.898,21052726,165125,30.87,0.24
Brunei,441532,81.347,132981,206,30.12,0.05
Ireland,4982904,69.874,1448812,6730,29.08,0.14
Greece,10370747,83.479,2986882,27392,28.80,0.26
Serbia,6871547,80.291,1972760,15779,28.71,0.23
European Union,447189915,NULL,124892148,1045756,27.93,0.23
Mongolia,3329282,1.98,918867,2177,27.60,0.07
Monaco,39520,19347.5,10670,54,27.00,0.14
Croatia,4081657,73.726,1095115,15548,26.83,0.38
Norway,5465629,14.462,1402219,2339,25.66,0.04
French Polynesia,282534,77.324,72195,646,25.55,0.23
Uruguay,3485152,19.751,885980,7156,25.42,0.21
South Korea,51305184,527.967,12774956,15855,24.90,0.03
